# weight minuslogpost logA ns wdm H0 ombh2 omch2 tau As omegam omegamh2 omega_de YHe Y_p DHBBN zrei sigma8 s8h5 s8omegamp5 s8omegamp25 A clamp age rdrag hrd S8 chi2__BAO chi2__SN minuslogprior minuslogprior__0 chi2 chi2__bao.desi_dr2 chi2__sn.desdovekie
4 8.26600270e+02 3.76052880e+00 1.01721400e+00 1.27426490e-02 9.90503980e+01 3.90523540e-02 2.38059370e-01 7.92763290e-01 4.29711450e-09 2.83107860e-01 2.77756590e-01 7.16855320e-01 2.50529780e-01 2.51878300e-01 9.81407390e-01 10 2.80647800e+00 2.81989880e+00 1.49326740e+00 2.04714980e+00 4.29711450e+00 8.80220500e-01 9.56531200e+00 1.03388180e+02 1.02406404e+02 2.72632090e+00 1.24243010e+01 1.63947990e+03 6.48161230e-01 6.48161230e-01 1.65190420e+03 1.24243010e+01 1.63947990e+03
7 8.25724550e+02 3.86296290e+00 1.01581380e+00 1.66065920e-02 9.75855870e+01 3.10789530e-02 2.41132220e-01 7.21884200e-01 4.76061940e-09 2.86524800e-01 2.72856040e-01 7.13437270e-01 2.48468560e-01 2.49809690e-01 1.49119600e+00 10 3.49467750e+00 3.53764520e+00 1.87063140e+00 2.55680530e+00 4.76061940e+00 1.12368040e+00 9.64069820e+00 1.04338910e+02 1.01819738e+02 3.41529000e+00 1.26130460e+01 1.63753970e+03 6.48161230e-01 6.48161230e-01 1.65015280e+03 1.26130460e+01 1.63753970e+03
52 8.25530980e+02 1.67509990e+00 9.43786760e-01 1.75847700e-02 9.64258210e+01 2.88693210e-02 2.36905910e-01 7.49130280e-01 5.33932840e-10 2.86536720e-01 2.66420090e-01 7.13424420e-01 2.47786540e-01 2.49125200e-01 1.69400180e+00 10 1.14917720e+00 1.17028150e+00 6.15144520e-01 8.40779440e-01 5.33932840e-01 1.19343930e-01 9.74724390e+00 1.05413490e+02 1.01645823e+02 1.12309510e+00 1.23860110e+01 1.63737960e+03 6.48161230e-01 6.48161230e-01 1.64976560e+03 1.23860110e+01 1.63737960e+03
10 8.25694030e+02 1.68452540e+00 9.44693990e-01 1.46277860e-02 9.66045120e+01 3.47580880e-02 2.35148950e-01 6.66904280e-01 5.38989200e-10 2.89905040e-01 2.70551900e-01 7.10056250e-01 2.49469500e-01 2.50814230e-01 1.22064310e+00 10 1.01446930e+00 1.03214370e+00 5.46218960e-01 7.44393940e-01 5.38989200e-01 1.42008510e-01 9.72576200e+00 1.04635540e+02 1.01082653e+02 9.97254820e-01 1.33713640e+01 1.63672040e+03 6.48161230e-01 6.48161230e-01 1.65009170e+03 1.33713640e+01 1.63672040e+03
14 8.26080340e+02 1.68599030e+00 9.44929940e-01 1.37969100e-02 9.72806550e+01 3.70586420e-02 2.35546730e-01 6.89148520e-01 5.39779390e-10 2.88740410e-01 2.73250240e-01 7.11221410e-01 2.50055310e-01 2.51402130e-01 1.08394420e+00 10 9.80001020e-01 9.93603900e-01 5.26599350e-01 7.18378660e-01 5.39779390e-01 1.36028370e-01 9.67685570e+00 1.03974770e+02 1.01147337e+02 9.61434470e-01 1.36331290e+01 1.63723120e+03 6.48161230e-01 6.48161230e-01 1.65086440e+03 1.36331290e+01 1.63723120e+03
25 8.25149450e+02 1.61508110e+00 9.07773200e-01 1.25346120e-02 9.79893910e+01 3.84342380e-02 2.37827810e-01 6.48383760e-01 5.02829580e-10 2.88387010e-01 2.76906920e-01 7.11575370e-01 2.50383690e-01 2.51731690e-01 1.01218660e+00 10 8.86666200e-01 8.95716610e-01 4.76154620e-01 6.49761650e-01 5.02829580e-01 1.37480730e-01 9.62093300e+00 1.03888280e+02 1.01799493e+02 8.69335420e-01 1.14677030e+01 1.63753490e+03 6.48161230e-01 6.48161230e-01 1.64900260e+03 1.14677030e+01 1.63753490e+03
13 8.25385150e+02 3.58326770e+00 1.05918980e+00 1.22998810e-02 9.80150450e+01 3.85951830e-02 2.37893390e-01 6.53062430e-01 3.59909550e-09 2.88471850e-01 2.77133440e-01 7.11490540e-01 2.50422400e-01 2.51770530e-01 1.00406090e+00 10 2.59459190e+00 2.62073250e+00 1.39354430e+00 1.90149380e+00 3.59909550e+00 9.74878620e-01 9.61961320e+00 1.03967760e+02 1.01904047e+02 2.54425220e+00 1.19343670e+01 1.63753960e+03 6.48161230e-01 6.48161230e-01 1.64947400e+03 1.19343670e+01 1.63753960e+03
27 8.26294570e+02 3.58272090e+00 9.57943510e-01 1.20556160e-02 9.77115980e+01 3.81673300e-02 2.36930870e-01 6.57276300e-01 3.59712820e-09 2.88810090e-01 2.75743060e-01 7.11152070e-01 2.50319280e-01 2.51667040e-01 1.02579410e+00 10 2.40557970e+00 2.43358590e+00 1.29278390e+00 1.76348930e+00 3.59712820e+00 9.66168710e-01 9.64825630e+00 1.04493410e+02 1.02102181e+02 2.36028960e+00 1.38371710e+01 1.63745570e+03 6.48161230e-01 6.48161230e-01 1.65129280e+03 1.38371710e+01 1.63745570e+03
3 8.27057110e+02 3.58201020e+00 9.57800880e-01 1.40601100e-02 9.82114730e+01 3.78846030e-02 2.38442300e-01 6.57180260e-01 3.59457260e-09 2.87151480e-01 2.76971770e-01 7.12811070e-01 2.50251660e-01 2.51599190e-01 1.04034340e+00 10 2.58804840e+00 2.61150760e+00 1.38684500e+00 1.89452420e+00 3.59457260e+00 9.65667780e-01 9.59784920e+00 1.02974230e+02 1.01132508e+02 2.53202100e+00 1.50731520e+01 1.63774470e+03 6.48161230e-01 6.48161230e-01 1.65281790e+03 1.50731520e+01 1.63774470e+03
30 8.25077710e+02 3.68786630e+00 1.07477250e+00 1.31856920e-02 9.83573310e+01 3.81381010e-02 2.39812080e-01 6.80155900e-01 3.99594940e-09 2.87978410e-01 2.78595050e-01 7.11984250e-01 2.50312240e-01 2.51659980e-01 1.02729270e+00 10 2.86964980e+00 2.89351360e+00 1.53995790e+00 2.10217510e+00 3.99594940e+00 1.02528370e+00 9.58315990e+00 1.03310480e+02 1.01613431e+02 2.81156570e+00 1.12786160e+01 1.63758050e+03 6.48161230e-01 6.48161230e-01 1.64885910e+03 1.12786160e+01 1.63758050e+03
