# weight minuslogpost logA ns wdm H0 ombh2 omch2 tau As omegam omegamh2 omega_de YHe Y_p DHBBN zrei sigma8 s8h5 s8omegamp5 s8omegamp25 A clamp age rdrag hrd S8 chi2__BAO chi2__SN minuslogprior minuslogprior__0 chi2 chi2__bao.desi_dr2 chi2__sn.desdovekie
7 8.24858010e+02 3.70432400e+00 9.51843870e-01 -1.27939220e-01 6.38686490e+01 5.13750080e-02 1.12368370e-01 1.86595540e-01 4.06225770e-09 4.02990960e-01 1.64388250e-01 5.96920480e-01 2.50710830e-01 2.52060000e-01 9.40400000e-01 10 6.96077380e-02 8.70990980e-02 4.41880840e-02 5.54601900e-02 4.06225770e+00 2.79700110e+00 1.47090300e+01 1.54488730e+02 9.86698647e+01 8.06760350e-02 1.65916920e+01 1.63182800e+03 6.48161230e-01 6.48161230e-01 1.64841970e+03 1.65916920e+01 1.63182800e+03
4 8.26495690e+02 3.46927300e+00 8.14380110e-01 -1.26476610e-01 6.66071120e+01 5.56522810e-02 1.21926750e-01 1.26910650e-01 3.21133860e-09 4.01721170e-01 1.78223890e-01 5.98197400e-01 2.50710830e-01 2.52060000e-01 9.40400000e-01 10 6.55249010e-02 8.02871550e-02 4.15306500e-02 5.21660020e-02 3.21133860e+00 2.49145420e+00 1.41070660e+01 1.49888440e+02 9.98363611e+01 7.58242470e-02 1.99337420e+01 1.63176130e+03 6.48161230e-01 6.48161230e-01 1.65169510e+03 1.99337420e+01 1.63176130e+03
5 8.25437380e+02 3.25531470e+00 9.50340630e-01 -1.32043040e-01 6.99433110e+01 6.37147170e-02 1.32015830e-01 9.86943600e-02 2.59277720e-09 4.01416060e-01 1.96375420e-01 5.98510100e-01 2.50710830e-01 2.52060000e-01 9.40400000e-01 10 5.84224130e-02 6.98564320e-02 3.70149240e-02 4.65027010e-02 2.59277720e+00 2.12833680e+00 1.34568840e+01 1.42695470e+02 9.98059364e+01 6.75796960e-02 1.80106400e+01 1.63156780e+03 6.48161230e-01 6.48161230e-01 1.64957840e+03 1.80106400e+01 1.63156780e+03
30 8.25261860e+02 3.19120680e+00 9.40308350e-01 -1.32126350e-01 6.98959510e+01 6.36658680e-02 1.31884610e-01 9.86544680e-02 2.43177570e-09 4.01591650e-01 1.96195350e-01 5.98334410e-01 2.50710830e-01 2.52060000e-01 9.40400000e-01 10 5.67048620e-02 6.78257010e-02 3.59345850e-02 4.51405110e-02 2.43177570e+00 1.99633460e+00 1.34648050e+01 1.42743470e+02 9.97719058e+01 6.56072760e-02 1.76458790e+01 1.63158150e+03 6.48161230e-01 6.48161230e-01 1.64922740e+03 1.76458790e+01 1.63158150e+03
13 8.25591730e+02 3.73763340e+00 1.17802650e+00 -1.32123980e-01 7.03866360e+01 6.46204180e-02 1.32984080e-01 8.84756500e-02 4.19984770e-09 4.00157880e-01 1.98249360e-01 5.99769200e-01 2.50710830e-01 2.52060000e-01 9.40400000e-01 10 7.18198780e-02 8.56050830e-02 4.54318420e-02 5.71218810e-02 4.19984770e+00 3.51871880e+00 1.33820460e+01 1.41918460e+02 9.98916299e+01 8.29468160e-02 1.84269850e+01 1.63146010e+03 6.48161230e-01 6.48161230e-01 1.64988710e+03 1.84269850e+01 1.63146010e+03
7 8.26145380e+02 2.38819250e+00 8.76610350e-01 -1.39233530e-01 6.61235800e+01 5.76997370e-02 1.23014860e-01 7.87904450e-02 1.08937850e-09 4.14789260e-01 1.81359460e-01 5.85128110e-01 2.50710830e-01 2.52060000e-01 9.40400000e-01 10 3.69642040e-02 4.54572520e-02 2.38064760e-02 2.96645820e-02 1.08937850e+00 9.30555540e-01 1.41684960e+01 1.48576830e+02 9.82443190e+01 4.34644790e-02 1.82899530e+01 1.63270450e+03 6.48161230e-01 6.48161230e-01 1.65099440e+03 1.82899530e+01 1.63270450e+03
9 8.26349560e+02 2.34876600e+00 1.00067580e+00 -1.34793070e-01 5.85416090e+01 3.98198120e-02 1.05971540e-01 5.96799950e-02 1.04726380e-09 4.27286520e-01 1.46436210e-01 5.72608070e-01 2.50690760e-01 2.52039860e-01 9.45327550e-01 10 2.95816850e-02 3.86625570e-02 1.93367060e-02 2.39167800e-02 1.04726380e+00 9.29434370e-01 1.59369890e+01 1.68613390e+02 9.87089915e+01 3.53038340e-02 1.69638430e+01 1.63443900e+03 6.48161230e-01 6.48161230e-01 1.65140280e+03 1.69638430e+01 1.63443900e+03
11 8.24956420e+02 2.11064540e+00 9.88688010e-01 -1.47720240e-01 7.52753450e+01 7.81029870e-02 1.49422290e-01 4.25883980e-01 8.25356620e-10 4.02673750e-01 2.28170150e-01 5.97262490e-01 2.50710830e-01 2.52060000e-01 9.40400000e-01 10 3.40801490e-02 3.92803280e-02 2.16260970e-02 2.71481230e-02 8.25356620e-01 3.52146610e-01 1.25648580e+01 1.32047860e+02 9.93994822e+01 3.94836700e-02 1.74299480e+01 1.63118660e+03 6.48161230e-01 6.48161230e-01 1.64861650e+03 1.74299480e+01 1.63118660e+03
7 8.24956690e+02 2.55097060e+00 1.04354970e+00 -1.47718080e-01 7.52716920e+01 7.80948780e-02 1.49410380e-01 4.25959630e-01 1.28195410e-09 4.02677480e-01 2.28150120e-01 5.97258760e-01 2.50710830e-01 2.52060000e-01 9.40400000e-01 10 4.20773140e-02 4.84989320e-02 2.67009480e-02 3.35187140e-02 1.28195410e+00 5.46875720e-01 1.25654310e+01 1.32053550e+02 9.93989414e+01 4.87490390e-02 1.74301850e+01 1.63118690e+03 6.48161230e-01 6.48161230e-01 1.64861700e+03 1.74301850e+01 1.63118690e+03
37 8.24573410e+02 2.55062050e+00 1.04341620e+00 -1.47063160e-01 7.46445330e+01 7.67481060e-02 1.48729150e-01 4.40709930e-01 1.28150530e-09 4.05832700e-01 2.26122120e-01 5.94102460e-01 2.50710830e-01 2.52060000e-01 9.40400000e-01 10 4.17446540e-02 4.83172120e-02 2.65934320e-02 3.33186670e-02 1.28150530e+00 5.30792290e-01 1.26439070e+01 1.32985500e+02 9.92664054e+01 4.85527410e-02 1.64096430e+01 1.63144090e+03 6.48161230e-01 6.48161230e-01 1.64785050e+03 1.64096430e+01 1.63144090e+03
